INFO 2025-06-02 12:18:03,047 oracle_11g 4780 6088 检测到Oracle 11g AWR格式
INFO 2025-06-02 12:18:03,047 oracle_11g 4780 6088 检测到Oracle 11g AWR格式
INFO 2025-06-02 12:18:03,047 oracle_11g 4780 6088 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:18:03,064 oracle_11g 4780 6088 未找到数据库信息表格
WARNING 2025-06-02 12:18:03,088 oracle_11g 4780 6088 无法解析启动时间: invalid-time
INFO 2025-06-02 12:18:03,092 oracle_11g 4780 6088 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:18:03,097 oracle_11g 4780 6088 未找到数据库信息表格
WARNING 2025-06-02 12:18:03,107 oracle_11g 4780 6088 未找到数据库信息表格
WARNING 2025-06-02 12:18:03,401 oracle_11g 4780 6088 未找到Load Profile表格
INFO 2025-06-02 12:24:19,308 oracle_11g 4320 7272 找到 3 个AWR锚点，尝试作为Oracle 11g解析
ERROR 2025-06-02 12:24:19,313 oracle_11g 4320 7272 检查Oracle 11g兼容性时出错: expected string or bytes-like object, got 'NoneType'
INFO 2025-06-02 12:24:19,318 oracle_11g 4320 7272 检测到Oracle 11g AWR格式
INFO 2025-06-02 12:24:19,318 oracle_11g 4320 7272 检测到Oracle 11g AWR格式
INFO 2025-06-02 12:24:19,319 oracle_11g 4320 7272 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:24:19,335 oracle_11g 4320 7272 未找到数据库信息表格
WARNING 2025-06-02 12:24:19,360 oracle_11g 4320 7272 无法解析启动时间: invalid-time
INFO 2025-06-02 12:24:19,364 oracle_11g 4320 7272 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:24:19,371 oracle_11g 4320 7272 未找到数据库信息表格
WARNING 2025-06-02 12:24:19,381 oracle_11g 4320 7272 未找到数据库信息表格
WARNING 2025-06-02 12:24:19,618 oracle_11g 4320 7272 未找到Load Profile表格
WARNING 2025-06-02 12:24:19,627 oracle_11g 4320 7272 未找到快照信息表格
WARNING 2025-06-02 12:24:19,776 oracle_11g 4320 7272 等待事件表格解析为空
INFO 2025-06-02 12:24:19,781 oracle_11g 4320 7272 检测到Oracle 11g AWR格式
WARNING 2025-06-02 12:24:19,806 oracle_11g 4320 7272 未找到快照信息表格
WARNING 2025-06-02 12:24:19,865 oracle_11g 4320 7272 未找到等待事件表格
WARNING 2025-06-02 12:24:19,868 oracle_11g 4320 7272 未找到SQL统计表格
INFO 2025-06-02 12:26:02,438 oracle_11g 16204 18104 找到 3 个AWR锚点，尝试作为Oracle 11g解析
ERROR 2025-06-02 12:26:02,444 oracle_11g 16204 18104 检查Oracle 11g兼容性时出错: expected string or bytes-like object, got 'NoneType'
INFO 2025-06-02 12:26:02,448 oracle_11g 16204 18104 检测到Oracle 11g AWR格式
